County,Route,Station ID,Station PM,Station Absolute PM,Latitude,Longitude,Location Type,HPMS AADT,PEMS AADT,PEMS Sum,HPMS - PEMS,Pct Change,Notes
Amador,SR49-N,1012210,6.214,118.17,38.368621,-120.79691,Rural,"17,850","5,419.90","9,922.90","7,927",79.89,Incomplete
Amador,SR49-S,1012310,6.214,118.17,38.368621,-120.79691,Rural,"17,850","4,503.00",,,,Incomplete
Calaveras,SR49-N,1010210,6.514,87.63,38.058969,-120.535958,Rural,"6,350","3,036.64","6,073.91",276,4.55,Incomplete
Calaveras,SR49-S,1010310,6.514,87.63,38.058969,-120.535958,Rural,"6,350","3,037.27",,,,Incomplete
Fresno,SR168-W,602723,7.401,7.15,36.841009,-119.695744,Urban,"39,500","20,837.33","37,975.00","1,525",4.02,
Fresno,SR168-E,601723,7.4,7.36,36.841008,-119.695763,Urban,"39,500","17,137.67",,,,
Fresno,SR99-S,602901,11.257,123.57,36.628183,-119.68598,Urban,"100,000","36,119.17","75,945.00","24,055",31.67,
Fresno,SR99-N,601901,11.26,123.6,36.628215,-119.686016,Urban,"100,000","39,825.83",,,,
Kern,SR99-S,619971,17.001,17.82,35.25981,-119.020935,Urban,"59,000","30,694.20","61,834.20","-2,834",-4.58,Incomplete
Kern,SR99-N,629971,17.002,17.82,35.259824,-119.020938,Urban,"59,000","31,140.00",,,,Incomplete
Kern,SR99-S,602379,52.468,53.3,35.718333,-119.237231,Urban,"63,000","35,908.00","67,928.42","-4,928",-7.26,
Kern,SR99-N,601379,52.4665,53.33,35.718312,-119.237226,Urban,"63,000","32,020.42",,,,
Kern,SR58-E,625856,60.416,117.24,35.350884,-118.897042,Urban,"29,500","15,662.33","31,981.58","-2,482",-7.76,
Kern,SR58-W,615856,60.418,117.24,35.350876,-118.897008,Urban,"29,500","16,319.25",,,,
Kern,I5-S,602309,33.5206,238.57,35.209481,-119.163019,Urban,"38,000","18,713.42","37,085.92",914,2.46,
Kern,I5-N,601309,33.5207,238.64,35.209481,-119.163019,Urban,"38,000","18,372.50",,,,
Placer,SR28-E,318604,2.985,2.9,39.192808,-120.104406,Rural,"10,150","4,594.25","9,111.83","1,038",11.39,
Placer,SR28-W,318603,2.985,2.9,39.192808,-120.104406,Rural,"10,150","4,517.58",,,,
Placer,SR65-S,316597,R7.613,67.33,38.790703,-121.291909,Urban,"98,000","42,734.40","95,049.00","2,951",3.10,Incomplete
Placer,SR65-N,316593,R7.615,67.34,38.790703,-121.291909,Urban,"98,000","52,314.60",,,,Incomplete
Placer,I80-W,317013,7.11,108.61,38.799579,-121.209334,Urban,"98,600","56,238.17","111,436.00","-12,836",-11.52,Incomplete
Placer,I80-E,317008,7.118,108.62,38.799664,-121.209233,Urban,"98,600","55,197.83",,,,Incomplete
Placer,I80-E,316261,29.376,130.86,39.045427,-120.973728,Urban,"41,300","13,568.42","27,070.00","14,230",52.57,
Placer,I80-W,316264,29.376,130.86,39.045427,-120.973728,Urban,"41,300","13,501.58",,,,
