OBJECTID,ORIG_FID,Shape_Length,Shape_Area,Longitude,Latitude
342,1,0,0,-116.0006137,32.72530167
343,1,0,0,-116.0004005,32.72528534
344,1,0,0,-116.0001873,32.72526901
345,1,0,0,-115.9999742,32.72525267
346,1,0,0,-115.999761,32.72523634
347,1,0,0,-115.9995478,32.72522001
348,1,0,0,-115.9993347,32.72520368
349,1,0,0,-115.9991215,32.72518734
350,1,0,0,-115.9989083,32.72517101
351,1,0,0,-115.9986952,32.72515468
352,1,0,0,-115.998482,32.72513835
353,1,0,0,-115.9982688,32.72512201
354,1,0,0,-115.9980557,32.72510568
355,1,0,0,-115.9978425,32.72508935
356,1,0,0,-115.9976293,32.72507302
357,1,0,0,-115.9974161,32.7250573
358,1,0,0,-115.9972028,32.72504284
359,1,0,0,-115.9969895,32.72502837
360,1,0,0,-115.9967762,32.72501391
361,1,0,0,-115.9965629,32.72499945
362,1,0,0,-115.9963496,32.72498498
363,1,0,0,-115.9961363,32.72497052
364,1,0,0,-115.9960711,32.7249661
